id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
CH-01,ບາຈຽງຈະເລີນສຸກ,Bachiangchaleunsook,bachiangchaleunsook-ch-01,CH-01,82,15.25,105.973
CH-02,ຈຳປາສັກ,Champasack,champasack-ch-02,CH-02,99,14.924,105.751
CH-03,ໂຂງ,Khong,khong-ch-03,CH-03,193,14.222,106.019
CH-04,ມູນລະປະໂມກ,Moonlapamok,moonlapamok-ch-04,CH-04,56,14.177,105.451
CH-05,ປາກເຊ,Pakse,pakse-ch-05,CH-05,30,15.149,105.849
CH-06,ປາກຊ່ອງ,Paksxong,paksxong-ch-06,CH-06,119,15.052,106.383
CH-07,ປະທຸມພອນ,Pathoomphone,pathoomphone-ch-07,CH-07,105,14.651,106.187
CH-08,ໂພນທອງ,Phonthong,phonthong-ch-08,CH-08,201,15.085,105.67
CH-09,ສາມັກຄີໄຊ,Samakkhixay,samakkhixay-ch-09,CH-09,23,14.963,106.794
CH-10,ຊະນະສົມບູນ,Sanasomboon,sanasomboon-ch-10,CH-10,94,15.39,105.689
CH-11,ສຸຂຸມາ,Sukhuma,sukhuma-ch-11,CH-11,66,14.597,105.623
