id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
1956921,ນົກ,Ban Bok,ban-bok-1956921,1956921,20.15,104.428
1664815,ບວກ,Ban Bouak,ban-bouak-1664815,1664815,19.956,104.36
1952834,Ban Bouak (2),Ban Bouak (2),ban-bouak-2-1952834,1952834,19.956,104.358
1956928,Ban Bun,Ban Bun,ban-bun-1956928,1956928,20.032,104.42
1664658,Ban Co Sum,Ban Co Sum,ban-co-sum-1664658,1664658,20.033,104.733
1664664,ກໍ່ລູ້,Ban Coleu,ban-coleu-1664664,1664664,20.033,104.7
1956931,Ban Dan,Ban Dan,ban-dan-1956931,1956931,20.038,104.486
11401876,Ban Dan,Ban Dan,ban-dan-11401876,11401876,20.137,104.812
1654581,ດອກໄມ້ ,Ban Dokmai,ban-dokmai-1654581,1654581,20.145,104.784
1664559,ດອນ,Ban Don,ban-don-1664559,1664559,19.781,104.723
1952795,Ban Gnia,Ban Gnia,ban-gnia-1952795,1952795,19.917,104.26
1952843,ຍອດອີ້ນ,Ban Gnot-In,ban-gnot-in-1952843,1952843,19.954,104.477
1664218,ຫ່າງ,Ban Hang,ban-hang-1664218,1664218,20.083,104.883
1956917,Ban Hintang,Ban Hintang,ban-hintang-1956917,1956917,20.175,104.431
1956925,ຫົວນາ,Ban Houana,ban-houana-1956925,1956925,20.005,104.347
1663966,ຫົວຊຽງ,Ban Houaxiang,ban-houaxiang-1663966,1663966,19.992,104.254
1663795,ຫ້ວຍກິກ,Ban Houay Kut,ban-houay-kut-1663795,1663795,20,104.6
1952787,ຫ້ວຍໂອ,Ban Houay-O,ban-houay-o-1952787,1952787,19.942,104.199
1952836,ຫ້ວຍຈີນ,Ban Houaychun,ban-houaychun-1952836,1952836,19.954,104.359
1663902,Ban Houayhap,Ban Houayhap,ban-houayhap-1663902,1663902,20,104.167
1663895,Ban Houayhé,Ban Houayhe,ban-houayhe-1663895,1663895,19.933,104.267
1663865,Ban Houayhouan,Ban Houayhouan,ban-houayhouan-1663865,1663865,19.901,104.617
1954109,ຫ້ວຍກິກ,Ban Houaykik,ban-houaykik-1954109,1954109,19.962,104.606
1663802,ຫ້ວຍກູດ,Ban Houaykout,ban-houaykout-1663802,1663802,19.967,104.617
1954110,ຫ້ວຍລາດ,Ban Houaylat,ban-houaylat-1954110,1954110,19.922,104.578
1663777,Ban Houaylin,Ban Houaylin,ban-houaylin-1663777,1663777,19.95,104.817
1663746,ຫ້ວຍມາຍ,Ban Houaymay,ban-houaymay-1663746,1663746,20.001,104.49
1663646,ຫ້ວຍປຸງ,Ban Houaypoung,ban-houaypoung-1663646,1663646,19.961,104.292
1956927,ຫວ້ຍສະລາ,Ban Houaysala,ban-houaysala-1956927,1956927,20.063,104.374
1956926,ຫວ້ຍສະລາ,Ban Houaysala-Kao,ban-houaysala-kao-1956926,1956926,20.044,104.375
1663607,Ban Houaysap,Ban Houaysap,ban-houaysap-1663607,1663607,19.9,104.683
1663579,Ban Houaytamak,Ban Houaytamak,ban-houaytamak-1663579,1663579,19.933,104.217
1956922,Ban Houaytongching,Ban Houaytongching,ban-houaytongching-1956922,1956922,20.09,104.309
1956957,Ban Kang,Ban Kang,ban-kang-1956957,1956957,20.029,104.22
11401879,ກາງ,Ban Kang,ban-kang-11401879,11401879,20.084,104.935
1663190,ແກ່ວດິ່ງ,Ban Keoding,ban-keoding-1663190,1663190,20.041,104.138
1956953,ແກ່ວດິ່ງ,Ban Keoding,ban-keoding-1956953,1956953,20.042,104.139
11401880,Ban Keon,Ban Keon,ban-keon-11401880,11401880,20.091,104.963
1952788,ຄາ,Ban Kha,ban-kha-1952788,1952788,19.932,104.217
1956929,ຄາ,Ban Kha,ban-kha-1956929,1956929,20.041,104.439
