id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
1664902,Ban Bôk,Ban Bok,ban-bok-1664902,1664902,17.937,104.331
1664886,Ban Bonèng,Ban Boneng,ban-boneng-1664886,1664886,17.961,104.581
1664885,Ban Bông,Ban Bong,ban-bong-1664885,1664885,17.811,104.633
11233320,Ban Bonongxun,Ban Bonongxun,ban-bonongxun-11233320,11233320,17.944,104.517
1664839,Ban Boumlou,Ban Boumlou,ban-boumlou-1664839,1664839,17.767,104.715
11233886,Ban Choutxong,Ban Choutxong,ban-choutxong-11233886,11233886,17.586,104.689
11233262,Ban Dan,Ban Dan,ban-dan-11233262,11233262,17.793,104.414
11233877,Ban Dondou,Ban Dondou,ban-dondou-11233877,11233877,17.626,104.642
11233268,Ban Dông-Kang,Ban Dong-Kang,ban-dong-kang-11233268,11233268,17.706,104.491
11233263,Ban Donlap,Ban Donlap,ban-donlap-11233263,11233263,17.764,104.402
1664191,Ban Hat,Ban Hat,ban-hat-1664191,1664191,17.651,104.488
1664175,Ban Hat-Hè,Ban Hat-He,ban-hat-he-1664175,1664175,17.575,104.637
1664170,Ban Hat-Ikom,Ban Hat-Ikom,ban-hat-ikom-1664170,1664170,17.603,104.579
11233918,Ban Hathan,Ban Hathan,ban-hathan-11233918,11233918,17.641,104.813
11233244,Ban Hatxaykham,Ban Hatxaykham,ban-hatxaykham-11233244,11233244,17.862,104.288
11233335,Ban Hinboun,Ban Hinboun,ban-hinboun-11233335,11233335,17.725,104.572
1664076,Ban Hinkhan,Ban Hinkhan,ban-hinkhan-1664076,1664076,17.745,104.585
11233243,Ban Hinlat,Ban Hinlat,ban-hinlat-11233243,11233243,17.872,104.277
1664016,Ban Houahat,Ban Houahat,ban-houahat-1664016,1664016,17.67,104.464
1663993,Ban Houana,Ban Houana,ban-houana-1663993,1663993,17.851,104.657
11233260,Ban Houaybon,Ban Houaybon,ban-houaybon-11233260,11233260,17.838,104.423
11233871,Ban Houaybungkuang,Ban Houaybungkuang,ban-houaybungkuang-11233871,11233871,17.638,104.51
1663485,Ban Houaydua,Ban Houaydua,ban-houaydua-1663485,1663485,17.662,104.473
11233264,Ban Houayhou,Ban Houayhou,ban-houayhou-11233264,11233264,17.765,104.417
1663860,Ban Houayhua,Ban Houayhua,ban-houayhua-1663860,1663860,17.821,104.431
11233259,Ban Houaykaxa,Ban Houaykaxa,ban-houaykaxa-11233259,11233259,17.842,104.386
11242170,Ban Houaykhaomin-Gnai,Ban Houaykhaomin-Gnai,ban-houaykhaomin-gnai-11242170,11242170,17.625,104.533
1663830,Ban Houaykhaomin-Noy,Ban Houaykhaomin-Noy,ban-houaykhaomin-noy-1663830,1663830,17.619,104.545
1663827,Ban Houaykhiao,Ban Houaykhiao,ban-houaykhiao-1663827,1663827,17.741,104.411
1663666,Ban Houayphipèng,Ban Houayphipeng,ban-houayphipeng-1663666,1663666,17.83,104.622
11233332,Ban Houaysakoup,Ban Houaysakoup,ban-houaysakoup-11233332,11233332,17.749,104.524
1663527,Ban Houayxay,Ban Houayxay,ban-houayxay-1663527,1663527,17.86,104.644
11233876,Ban Kang,Ban Kang,ban-kang-11233876,11233876,17.619,104.65
1663325,Ban Katèp,Ban Katep,ban-katep-1663325,1663325,17.992,104.345
1663307,Ban Kava-Nua,Ban Kava-Nua,ban-kava-nua-1663307,1663307,17.715,104.432
1663306,Ban Kava-Tai,Ban Kava-Tai,ban-kava-tai-1663306,1663306,17.708,104.438
1662919,Ban Kôngkèo,Ban Kongkeo,ban-kongkeo-1662919,1662919,17.688,104.702
1662763,Ban Kouankacha,Ban Kouankacha,ban-kouankacha-1662763,1662763,17.868,104.684
11233255,Ban Laokha,Ban Laokha,ban-laokha-11233255,11233255,17.908,104.372
11233269,Ban Laolouang,Ban Laolouang,ban-laolouang-11233269,11233269,17.799,104.49
1662311,Ban Mèng,Ban Meng,ban-meng-1662311,1662311,17.886,104.282
11233344,Ban Mouangkhai,Ban Mouangkhai,ban-mouangkhai-11233344,11233344,17.9,104.598
1662127,Ban Na-On,Ban Na-On,ban-na-on-1662127,1662127,17.844,104.63
1662041,Ban Nadôn,Ban Nadon,ban-nadon-1662041,1662041,17.9,104.605
1661976,Ban Nahang,Ban Nahang,ban-nahang-1661976,1661976,17.785,104.642
1661954,Ban Nahi,Ban Nahi,ban-nahi-1661954,1661954,17.864,104.618
11233334,Ban Nahuang,Ban Nahuang,ban-nahuang-11233334,11233334,17.709,104.55
1661889,Ban Nakan,Ban Nakan,ban-nakan-1661889,1661889,17.65,104.8
1661866,Ban Nakathat,Ban Nakathat,ban-nakathat-1661866,1661866,17.614,104.61
1661822,Ban Nakham,Ban Nakham,ban-nakham-1661822,1661822,17.915,104.594
1661739,Ban Nakhu,Ban Nakhu,ban-nakhu-1661739,1661739,17.642,104.799
13433860,Ban Nakhu,Ban Nakhu,ban-nakhu-13433860,13433860,17.68,104.812
1661711,Ban Nakoum,Ban Nakoum,ban-nakoum-1661711,1661711,17.669,104.744
1661594,Ban Namdik,Ban Namdik,ban-namdik-1661594,1661594,17.606,104.697
11233342,Ban Namuang,Ban Namuang,ban-namuang-11233342,11233342,17.835,104.634
1661324,Ban Nanô,Ban Nano,ban-nano-1661324,1661324,17.796,104.619
1661302,Ban Nanua,Ban Nanua,ban-nanua-1661302,1661302,17.821,104.363
1661243,Ban Naphô,Ban Napho,ban-napho-1661243,1661243,17.686,104.695
1661111,Ban Natèo,Ban Nateo,ban-nateo-1661111,1661111,17.921,104.341
1661107,Ban Nateuy,Ban Nateuy,ban-nateuy-1661107,1661107,17.812,104.567
1661098,Ban Nathan,Ban Nathan,ban-nathan-1661098,1661098,17.762,104.663
11233246,Ban Nathan,Ban Nathan,ban-nathan-11233246,11233246,17.933,104.305
1660936,Ban Ngiou,Ban Ngiou,ban-ngiou-1660936,1660936,17.565,104.649
1660871,Ban Nongboua,Ban Nongboua,ban-nongboua-1660871,1660871,17.758,104.562
11233828,Ban Nongboua-Noy,Ban Nongboua-Noy,ban-nongboua-noy-11233828,11233828,17.638,104.663
1660856,Ban Nongchang,Ban Nongchang,ban-nongchang-1660856,1660856,17.744,104.621
1660855,Ban Nongchanla,Ban Nongchanla,ban-nongchanla-1660855,1660855,17.697,104.595
