id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
1664789,Ban Bungsouay,Ban Bungsouay,ban-bungsouay-1664789,1664789,16.621,105.564
1664787,Ban Bungthalé,Ban Bungthale,ban-bungthale-1664787,1664787,16.622,105.585
11235930,Ban Dông Bang,Ban Dong Bang,ban-dong-bang-11235930,11235930,16.583,105.695
1664369,Ban Dôngtiou,Ban Dongtiou,ban-dongtiou-1664369,1664369,16.545,105.545
1664356,Ban Douan,Ban Douan,ban-douan-1664356,1664356,16.769,105.624
1663648,Ban Houaypoun,Ban Houaypoun,ban-houaypoun-1663648,1663648,16.863,105.586
11235780,Ban Kalon-Dông,Ban Kalon-Dong,ban-kalon-dong-11235780,11235780,16.644,105.521
1663347,Ban Kasôk-Nua,Ban Kasok-Nua,ban-kasok-nua-1663347,1663347,16.775,105.618
1663285,Ban Kèngchip,Ban Kengchip,ban-kengchip-1663285,1663285,16.704,105.577
1663217,Ban Kèngpham,Ban Kengpham,ban-kengpham-1663217,1663217,16.524,105.537
13433994,Ban Kèngxai,Ban Kengxai,ban-kengxai-13433994,13433994,16.553,105.566
1663192,Ban Kèngxai-Noi,Ban Kengxai-Noi,ban-kengxai-noi-1663192,1663192,16.558,105.562
11235779,Ban Klong-Kang,Ban Klong-Kang,ban-klong-kang-11235779,11235779,16.636,105.53
11235776,Ban Klong-Nua,Ban Klong-Nua,ban-klong-nua-11235776,11235776,16.658,105.52
11235782,Ban Klong-Tai,Ban Klong-Tai,ban-klong-tai-11235782,11235782,16.632,105.525
1662857,Ban Klongkhoua,Ban Klongkhoua,ban-klongkhoua-1662857,1662857,16.645,105.526
11235777,Ban Klongnachan,Ban Klongnachan,ban-klongnachan-11235777,11235777,16.65,105.531
1662646,Ban Lampôy,Ban Lampoy,ban-lampoy-1662646,1662646,16.67,105.576
11235944,Ban Mai-Phôsi,Ban Mai-Phosi,ban-mai-phosi-11235944,11235944,16.628,105.65
11235305,Ban Nabo-Nua,Ban Nabo-Nua,ban-nabo-nua-11235305,11235305,16.749,105.626
1662097,Ban Nabo-Tai,Ban Nabo-Tai,ban-nabo-tai-1662097,1662097,16.743,105.637
